,latitude,longitude,price,water,wc,grey_water
283,46.57769,4.23505,Free,yes,yes,unknown
284,43.91512,5.19763,Paying,yes,no,yes
285,43.57368,2.96758,Paying,yes,yes,yes
286,44.73399,1.38481,Free,yes,no,yes
287,43.21565,-6.87588,Free,yes,no,yes
288,39.9799,0.02274,Free,yes,yes,yes
289,43.09594,3.11004,Paying,yes,yes,yes
290,47.3338,-2.42041,Free,yes,no,yes
291,43.17727,-7.87941,Free,yes,no,yes
292,52.09552,9.35982,Paying,no,no,yes
293,51.42018,9.64856,Paying,yes,yes,yes
294,50.84602,3.31089,Paying,yes,no,yes
295,50.56852,9.34615,Free,yes,no,yes
296,51.02763,9.41451,Free,yes,yes,yes
297,41.8439,-3.16446,Free,yes,no,yes
298,42.77624,-1.38536,Free,yes,yes,unknown
299,46.16882,14.42246,Paying,yes,yes,yes
300,49.161,20.29344,Paying,yes,yes,yes
301,37.18611,-4.03972,Free,yes,yes,yes
302,50.86823,10.96335,Free,yes,no,yes
303,42.53566,-8.8693,Paying,yes,no,yes
304,43.29782,-1.97101,Free,yes,no,yes
305,37.26221,-1.85359,Paying,yes,yes,no
306,44.5446,-0.25736,Free,yes,no,yes
307,42.56766,-0.54552,Free,yes,no,yes
308,39.18758,-1.07611,Free,yes,no,yes
309,47.62161,-1.61161,Free,yes,yes,yes
310,65.14335,21.50917,Free,yes,yes,yes
311,59.0173,6.0439,Paying,yes,yes,no
312,47.95631,-2.55029,Free,yes,yes,unknown
313,49.4308,0.81484,Free,yes,no,yes
314,56.68133,16.38084,Free,yes,yes,yes
315,56.16987,15.59416,Free,yes,no,yes
316,48.13608,7.26188,Paying,yes,yes,yes
317,48.5634,7.8165,Paying,yes,no,yes
318,47.52218,-2.8584,Paying,yes,no,yes
319,52.01281,4.71607,Paying,no,yes,unknown
320,43.25968,-2.96401,Paying,yes,yes,unknown
321,48.33522,16.29915,Free,yes,no,yes
322,40.65913,0.67527,Free,yes,yes,unknown
323,40.48848,-6.11623,Free,yes,no,yes
324,41.91119,-4.78079,Free,yes,no,yes
325,48.60376,-1.47701,Paying,yes,yes,unknown
326,39.39714,-2.43577,Free,yes,unknown,yes
327,46.96568,-2.21501,Paying,yes,no,yes
328,39.89176,-0.95707,Free,yes,no,yes
329,43.15947,-6.10098,Free,yes,no,yes
330,37.9593,-2.4313,Free,yes,no,yes
331,46.6683,-1.4184,Free,yes,yes,yes
332,40.41604,0.1727,Free,yes,no,yes
333,42.35876,1.46506,Free,yes,no,yes
334,44.10417,9.85907,Paying,yes,unknown,yes
335,44.65154,-1.1481,Free,yes,no,yes
336,44.82434,1.18395,Paying,yes,no,yes
337,42.58719,-2.79458,Free,yes,no,unknown
338,44.32886,-1.15096,Paying,yes,yes,yes
339,48.93806,5.71451,Paying,yes,yes,yes
340,47.47935,1.31891,Free,yes,yes,yes
341,43.64677,3.38939,Paying,yes,yes,yes
342,44.48619,-1.08447,Paying,yes,yes,yes
343,46.46733,5.69212,Paying,yes,yes,yes
344,46.8125,6.30367,Paying,yes,yes,unknown
345,37.11581,-8.67895,Paying,yes,yes,yes
346,43.09275,2.62028,Paying,yes,yes,yes
347,48.44747,-4.77684,Paying,yes,yes,unknown
348,48.49433,-4.03826,Free,unknown,no,yes
349,43.2176,-3.43927,Paying,yes,yes,yes
350,59.32021,18.03195,Paying,yes,yes,yes
351,44.52666,-0.21663,Paying,yes,yes,yes
352,43.70418,2.12998,Free,yes,no,yes
353,42.52724,2.83773,Free,yes,yes,unknown
354,43.28591,3.51746,Paying,yes,no,unknown
355,48.708,-3.82716,Free,yes,yes,yes
356,43.15187,6.43199,Paying,yes,yes,unknown
357,45.54596,-1.05453,Paying,yes,no,unknown
358,43.35839,-2.5072,Free,yes,unknown,unknown
359,44.88311,0.52525,Free,yes,no,yes
360,42.60462,-5.58494,Free,yes,yes,yes
361,42.23575,2.28419,Free,yes,no,yes
362,42.56351,2.06857,Paying,yes,yes,yes
363,44.93427,6.73533,Paying,yes,no,yes
364,46.22943,-1.4834,Paying,yes,yes,no
365,44.93885,1.00952,Paying,yes,yes,unknown
366,42.91385,3.01995,Paying,yes,unknown,yes
367,42.90023,3.05271,Paying,yes,yes,yes
368,47.55847,9.70041,Paying,yes,no,yes
369,43.86204,1.81846,Free,yes,no,unknown
370,43.26799,-1.90135,Free,yes,yes,yes
371,45.41292,7.46294,Paying,yes,yes,yes
