WKT,nombre,descripción,,,,,,
POINT (-1.10108 39.70905 0.0),Area AC Benageber  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (-2.42424 43.1034 0.0),Area Ac Bergara   (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:?),,,
POINT (0.50389 44.87108 0.0),Area Ac Bergerac  (Gratuito,Agua:si,Wc:no),,,,,
POINT (-2.72611 43.4233 0.0),Area Ac Bermeo  gratuito: si, agua:si, wc:no,,,,,
POINT (-0.24272 44.36954 0.0),Area AC Bernos Beaulac   (4 euros/dia,Agua:2 euros, vaciado:si,WC: no, electric,no),,
POINT (-1.6652 42.84038 0.0),Area Ac Berriozar  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:no),,,
POINT (-0.44537 39.57951 0.0),Area AC Betera  (12eu/24h,agua,wc,elec),,,,
POINT (-1.57174 43.4659 0.0),Area Ac Biarritz  (12eur/24h,Agua: si,Wc:no,Vaciado:si,Electr:si),,,
POINT (-0.79065 39.13286 0.0),Area AC Bicorp  (5euros/24h Agua:Si WC:Si),,,,,,,
POINT (7.94462 49.96882 0.0),Area Ac Bingen  (10eur/noche,Agua:si,Wc:no,Vaciado:si,Elec:si),,,
POINT (-1.24529 44.45887 0.0),Area ac Biscarrosse Plage  (Tarifa:10eur/noche,Agua:si,Wc:no,Elect:no),,,,
POINT (11.7935 50.0537 0.0),Area AC Bischofsgrun  (Gratuito,Agua:si,vaciado:si,WC:si, electric,si 1 eur/8h),,
POINT (-6.8145 43.42094 0.0),Area AC Boal  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (-5.32588 42.87276 0.0),Area ac BoÃ±ar  Gratuito, Agua: si, Wc: no, Grises: si, Negras: si, Electr: no,,
POINT (0.66167 44.17784 0.0),Area AC Boe  (Gratuito,Agua:si 3 eur,vaciado:si,WC:no, electric,no),,
POINT (8.1292 48.68872 0.0),Area Ac Bohl  Gratuito: no (5 eur/noche), Agua: si, Wc: no,,,,,
POINT (11.33717 46.47317 0.0),Area AC Bolzano  (8 euros,Agua:si,vaciado:si,WC:no, electric:no),,,
POINT (2.49721 45.39896 0.0),Area AC Bort-les-Orgues   (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (1.59751 50.74415 0.0),Area AC Boulogne Sur Mer  (5,25/48 h,Vaciado:si, Agua:3 eur,WC:no,Electric.:no),,
POINT (2.39861 47.07638 0.0),Area Ac Bourges  Gratuito: si, Agua: si, Wc: si,,,,,
POINT (0.97461 43.17786 0.0),Area AC Boussens  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (1.644 44.48413 0.0),Area Ac Bouzies  (5eur/24h,Agua: si,Wc:si,Electr:si),,,,
POINT (13.53951 46.33312 0.0),Area Ac Bovec  Gratuito: no, Agua: si,Wc: no, Grises: si, Elec: si,,,
POINT (-6.74596 41.80398 0.0),Area Ac Braganza  Gratuito: si, Agua: si, Wc: si,,,,,
POINT (0.64585 45.3791 0.0),Area AC Brantome,,,,,,,
POINT (0.64791 45.36042 0.0),Area Ac Brantome  Tarifa: 3.5 eur/noche, Agua: si (2 eur), Wc: no,,,,,
POINT (7.62047 45.92608 0.0),Area ac Breuil-Cervinia  Tarifa:6eur/noche,Agua:si,Wc:no,Vaciado:si,Elect:no,,,
POINT (2.69351 44.00515 0.0),Area Ac Broquies  (Gratuito,Agua:si,WC:si,Vaciado:si,Elect:si),,,
POINT (-0.04577 45.33291 0.0),Area AC Brossac  (Gratuito,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (-2.76267 40.36809 0.0),Area AC Buendia  (5 eur/24h,Agua:si,vaciado:si,WC:si, electric,no),,
POINT (8.40184 39.40275 0.0),Area AC Buggerru  (19 euros,Agua:si,vaciado:si,WC:no, electric,si, duchas: si),
POINT (-7.35838 43.6532 0.0),Area Ac Burela  Gratuito: Si, Pernocta: Si Agua: Si WC:No,,,,,,
POINT (-3.68056 42.35139 0.0),Area Ac Burgos  (Gratuito,Agua:si,Wc:no,Vaciado:si,Electr:no),,,
POINT (-2.14961 36.81611 0.0),Area Ac Cabo de Gata Park  (10eur/noche,Agua:si,Wc:si,Vaciado:si,Electric.: si 3 euros, duchas: si),,
POINT (1.4409 44.44022 0.0),Area Ac Cahors  Gratuito, Agua: si, Wc: no,,,,,
POINT (1.51397 41.73494 0.0),Area Ac Calaf  Gratuito:Si Agua:Si WC:No Elec:No,,,,,,,
POINT (-1.64679 41.35056 0.0),Area Ac Calatayud  (Gratuito,Agua:si,Wc:no,Vaciado:si,Elec:no),,,
POINT (-4.60858 48.2741 0.0),Area Ac Camaret sur Mer  Gratuito: no (4 eur/noche), Agua: si, Wc: no,,,,,
POINT (0.17829 43.01819 0.0),Area ac Campan  Gratuito, Agua: Si, Wc: si,,,,,
POINT (14.51606 46.09956 0.0),Area AC Campark Aleksander Kovac, LJUBLJANA  (14eur/noche,Agua:si,WC:si,Electr.:si,Ducha:si),,
